brand,model,category,lifespan_km
"bontrager","Bontrager Gunnison Pro XR TLR 29"" 2.4""","tyre",2000
"bontrager","Bontrager Gunnison Pro XR TLR 29"" 2.6""","tyre",2000
"bontrager","Bontrager Gunnison RSL XT TLR 27.5"" 2.4""","tyre",2000
"bontrager","Bontrager Gunnison RSL XT TLR 29"" 2.4""","tyre",2000
"bontrager","Bontrager Kovee 25 TLR 28H 26"" front","wheel",800
"bontrager","Bontrager Kovee 25 TLR 28H 26"" rear","wheel",800
"bontrager","Bontrager Kovee 25 TLR 28H 27.5"" front","wheel",800
"bontrager","Bontrager Kovee 25 TLR 28H 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee 25 TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee 25 TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee Comp 25 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee Comp 25 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee Comp 25 TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee Comp 25 TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee Comp TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee Comp TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee Comp TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee Comp TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee Elite 23 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee Elite 23 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee Elite 30 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee Elite 30 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee Elite 30 TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee Elite 30 TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee Pro 30 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee Pro 30 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee Pro 30 TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee Pro 30 TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee RSL 30 TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee RSL 30 TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 27.5"" front","wheel",800
"bontrager","Bontrager Kovee TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 28H 26"" front","wheel",800
"bontrager","Bontrager Kovee TLR 28H 26"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 28H 27.5"" front","wheel",800
"bontrager","Bontrager Kovee TLR 28H 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 28H 29"" front","wheel",800
"bontrager","Bontrager Kovee TLR 28H 29"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 29"" front","wheel",800
"bontrager","Bontrager Kovee TLR 29"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 32H 27.5"" front","wheel",800
"bontrager","Bontrager Kovee TLR 32H 27.5"" rear","wheel",800
"bontrager","Bontrager Kovee TLR 32H 29"" front","wheel",800
"bontrager","Bontrager Kovee TLR 32H 29"" rear","wheel",800
"bontrager","Bontrager LT4 Expert Reflective 27.5"" 2.4""","tyre",2000
"bontrager","Bontrager LT4 Expert Reflective 29"" 2.4""","tyre",2000
"bontrager","Bontrager Line 100mm","seat-post",
"bontrager","Bontrager Line 150mm","seat-post",
"bontrager","Bontrager Line 170mm","seat-post",
"bontrager","Bontrager Line 30 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Line 30 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Line 30 TLR 29"" front","wheel",800
"bontrager","Bontrager Line 30 TLR 29"" rear","wheel",800
"bontrager","Bontrager Line 40 27.5"" front","wheel",800
"bontrager","Bontrager Line 40 27.5"" rear","wheel",800
"bontrager","Bontrager Line Carbon 30 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Line Carbon 30 TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Line Carbon 30 TLR 29"" front","wheel",800
"bontrager","Bontrager Line Carbon 30 TLR 29"" rear","wheel",800
"bontrager","Bontrager Line Comp 30 TLR 27.5"" front","wheel",800
"bontrager","Bontrager Line Comp 30 TLR 27.5"" rear","wheel",800
